Species ,Pounds ,Value ,County 
"Tuna, bluefin ",51,354.00,Monterey County
"Rockfish, kelp ",83,332.00,Monterey County
"Rockfish, copper ",56,329.00,Monterey County
"Rockfish, olive ",92,297.00,Monterey County
"Sole, petrale ",146,282.00,Monterey County
"Crab, brown rock ",135,189.00,Monterey County
"Rockfish, black ",42,168.00,Monterey County
"Sanddab, Pacific ",83,166.00,Monterey County
"Sheephead, California ",28,159.00,Monterey County
"Rockfish, greenspotted ",39,133.00,Monterey County
"Crab, rock unspecified ",52,104.00,Monterey County
"Rockfish, treefish ",11,83.00,Monterey County
"Rockfish, China ",9,71.00,Monterey County
"Bonito, Pacific ",13,46.00,Monterey County
"Flounder, starry ",16,42.00,Monterey County
"Rockfish, widow ",16,40.00,Monterey County
"Sole, rock ",14,38.00,Monterey County
"Rockfish, group black/blue ",7,31.00,Monterey County
"Croaker, white ",414,31.00,Monterey County
"Rockfish, flag ",7,25.00,Monterey County
"Trout, rainbow ",2,17.00,Monterey County
"Crab, spider ",3,10.00,Monterey County
Jellyfish ,"23,015",8.00,Monterey County
"Rockfish, brown ",2,7.00,Monterey County
"Mackerel, unspecified ",76,0.00,Monterey County
"Rockfish, pink ",2,0.00,Monterey County
"Flounder, unspecified ",3,0.00,Monterey County
"Salmon, Chinook ","190,988",1304425.00,Santa Cruz County
"Crab, Dungeness ","81,966",358362.00,Santa Cruz County
"Halibut, California ","19,277",108973.00,Santa Cruz County
Sablefish ,"19,379",58167.00,Santa Cruz County
"Crab, red rock ","17,441",32857.00,Santa Cruz County
Jacksmelt ,"11,632",18395.00,Santa Cruz County
"Seabass, white ","2,194",14197.00,Santa Cruz County
Lingcod ,"3,851",11537.00,Santa Cruz County
"Crab, yellow rock ","4,893",9174.00,Santa Cruz County
"Croaker, white ","11,962",8423.00,Santa Cruz County
Butterfish (Pacific pompano) ,"6,513",7067.00,Santa Cruz County
"Rockfish, vermilion ","1,712",4797.00,Santa Cruz County
"Rockfish, blue ","1,783",3805.00,Santa Cruz County
"Rockfish, yellowtail ","1,209",3565.00,Santa Cruz County
"Croaker, unspecifed ","3,438",3438.00,Santa Cruz County
"Rockfish, bocaccio ","1,252",2853.00,Santa Cruz County
"Mackerel, Pacific ","2,166",2657.00,Santa Cruz County
"Crab, brown rock ","1,137",2161.00,Santa Cruz County
"Rockfish, blackgill ",740,1692.00,Santa Cruz County
"Rockfish, copper ",624,1615.00,Santa Cruz County
"Rockfish, canary ",503,1423.00,Santa Cruz County
"Rockfish, olive ",491,1363.00,Santa Cruz County
"Sardine, Pacific ","2,405",1193.00,Santa Cruz County
"Sole, petrale ",530,1188.00,Santa Cruz County
"Crab, rock unspecified ",532,1007.00,Santa Cruz County
"Anchovy, northern ","2,607",996.00,Santa Cruz County
"Mackerel, unspecified ",759,994.00,Santa Cruz County
"Rockfish, gopher ",125,931.00,Santa Cruz County
"Rockfish, group bolina ",290,830.00,Santa Cruz County
"Rockfish, chilipepper ",321,753.00,Santa Cruz County
"Rockfish, widow ",241,717.00,Santa Cruz County
"Tuna, albacore ",267,668.00,Santa Cruz County
Salmon ,65,585.00,Santa Cruz County
"Thornyhead, shortspine ",244,488.00,Santa Cruz County
"Tuna, yellowfin ",107,480.00,Santa Cruz County
"Rockfish, brown ",125,469.00,Santa Cruz County
"Tuna, bluefin ",70,418.00,Santa Cruz County
"Flounder, starry ",178,364.00,Santa Cruz County
"Surfperch, barred ",115,363.00,Santa Cruz County
Queenfish ,466,349.00,Santa Cruz County
"Rockfish, treefish ",14,141.00,Santa Cruz County
"Herring, Pacific ",136,136.00,Santa Cruz County
"Rockfish, starry ",44,127.00,Santa Cruz County
"Surfperch, walleye ",39,117.00,Santa Cruz County
"Mackerel, jack ",102,100.00,Santa Cruz County
"Rockfish, black-and-yellow ",12,94.00,Santa Cruz County
"Crab, spider ",33,50.00,Santa Cruz County
"Whiting, Pacific ",28,41.00,Santa Cruz County
"Sanddab, Pacific ",18,36.00,Santa Cruz County
"Rockfish, quillback ",11,34.00,Santa Cruz County
"Shark, thresher ",31,31.00,Santa Cruz County
"Skate, big ",57,29.00,Santa Cruz County
"Shark, spiny dogfish ",12,24.00,Santa Cruz County
"Flounder, unspecified ",8,20.00,Santa Cruz County
"Salmon, Roe (Chinook, Coho) ",5,20.00,Santa Cruz County
"Rockfish, greenspotted ",6,18.00,Santa Cruz County
"Herring, round ",18,18.00,Santa Cruz County
Cabezon ,5,16.00,Santa Cruz County
"Rockfish, China ",2,15.00,Santa Cruz County
"Rockfish, rosy ",5,14.00,Santa Cruz County
"Rockfish, group canary/vermili ",3,9.00,Santa Cruz County
"Rockfish, redbanded ",4,8.00,Santa Cruz County
"Sole, rock ",3,6.00,Santa Cruz County
"Thornyhead, longspine ",3,6.00,Santa Cruz County
"Sole, sand ",2,5.00,Santa Cruz County
"Rockfish, aurora ",2,4.00,Santa Cruz County
"Whitefish, ocean ",5,0.00,Santa Cruz County
"Rockfish, grass ","1,322",13605.00,Fresno County
"Rockfish, black-and-yellow ","1,047",9328.00,Fresno County
Cabezon ,878,6473.00,Fresno County
Lingcod ,713,1465.00,Fresno County
"Rockfish, black ",248,495.00,Fresno County
"Greenling, kelp ",61,125.00,Fresno County
"Rockfish, vermilion ",36,109.00,Fresno County
"Bass, kelp ",30,60.00,Fresno County
"Rockfish, kelp ",20,44.00,Fresno County
"Rockfish, blue ",17,33.00,Fresno County
"Rockfish, copper ",1,6.00,Fresno County
