Species ,Pounds ,Value ,County
"Shark, horn ",5,$0 ,Santa Barbara County
"Midshipman, plainfin ",293,$0 ,Santa Barbara County
"Ray, unspecified ",32,$0 ,Santa Barbara County
"Turbot, hornyhead ",25,$0 ,Santa Barbara County
"Fish, unspecified ",1,$0 ,Santa Barbara County
"Anchovy, northern ","14,175",$0 ,Santa Barbara County
"Shark, brown smoothhound ",25,$0 ,Santa Barbara County
"Shark, spiny dogfish ",749,$0 ,Santa Barbara County
"Rockfish, group shelf ",88,$0 ,Santa Barbara County
"Croaker, white ",27,$0 ,Santa Barbara County
"Lizardfish, California ",78,$0 ,Santa Barbara County
"Shrimp, unspecified ",1,$0 ,Santa Barbara County
"Skate, unspecified ","1,095",$0 ,Santa Barbara County
"Ratfish, spotted ",6,$0 ,Santa Barbara County
"Ray, Pacific electric ",16,$0 ,Santa Barbara County
"Shark, swell ",67,$0 ,Santa Barbara County
"Squid, market ","5,895,721","$2,849,714 ",Ventura County
"Prawn, spot ","108,553","$1,564,603 ",Ventura County
"Lobster, California spiny ","95,664","$1,294,667 ",Ventura County
"Prawn, ridgeback ","383,146","$841,068 ",Ventura County
"Halibut, California ","51,177","$302,113 ",Ventura County
"Crab, yellow rock ","116,069","$205,095 ",Ventura County
"Seabass, white ","18,178","$84,567 ",Ventura County
Swordfish ,"12,259","$73,432 ",Ventura County
"Sea cucumber, warty ","10,168","$53,269 ",Ventura County
"Mackerel, Pacific ","359,721","$51,481 ",Ventura County
"Sheephead, California ","11,602","$48,115 ",Ventura County
Sablefish ,"7,891","$20,375 ",Ventura County
"Shark, Pacific angel ","9,511","$18,077 ",Ventura County
"Rockfish, vermilion ","5,907","$17,550 ",Ventura County
"Thornyhead, shortspine ","1,873","$16,075 ",Ventura County
Yellowtail ,"4,520","$15,788 ",Ventura County
"Sea urchin, red ","21,334","$11,825 ",Ventura County
Cabezon ,"1,199","$9,023 ",Ventura County
"Salmon, Chinook ","1,189","$8,813 ",Ventura County
"Rockfish, grass ",614,"$7,315 ",Ventura County
"Anchovy, northern ","152,960","$7,004 ",Ventura County
Lingcod ,"1,327","$4,879 ",Ventura County
"Crab, spider ","3,028","$4,845 ",Ventura County
"Crab, red rock ","2,553","$4,283 ",Ventura County
"Sole, fantail ","2,788","$3,660 ",Ventura County
"Shark, thresher ","2,283","$3,252 ",Ventura County
"Rockfish, greenspotted ","2,074","$2,853 ",Ventura County
Pomfret ,"1,080","$2,430 ",Ventura County
"Sole, English ","2,972","$2,375 ",Ventura County
"Bass, giant sea ",578,"$2,228 ",Ventura County
"Croaker, white ","4,092","$2,153 ",Ventura County
"Lizardfish, California ","3,833","$2,097 ",Ventura County
"Rockfish, bocaccio ","1,218","$1,946 ",Ventura County
"Shark, gray smoothhound ",868,"$1,656 ",Ventura County
"Shrimp, unspecified ",594,"$1,380 ",Ventura County
Sanddab ,"1,771","$1,097 ",Ventura County
"Crab, brown rock ",588,"$1,022 ",Ventura County
"Tuna, bluefin ",184,$920 ,Ventura County
"Shrimp, mantis ",114,$912 ,Ventura County
"Crab, rock unspecified ",523,$848 ,Ventura County
"Skate, unspecified ","1,295",$816 ,Ventura County
"Sole, rock ",673,$690 ,Ventura County
"Snails, moon ",572,$572 ,Ventura County
"Scorpionfish, California ",327,$538 ,Ventura County
Butterfish (Pacific pompano) ,433,$458 ,Ventura County
"Tuna, albacore ",205,$410 ,Ventura County
"Sardine, Pacific ","47,679",$390 ,Ventura County
"Crab, tanner ",37,$371 ,Ventura County
"Crab, king ",128,$334 ,Ventura County
"Whelk, Kellet's ",397,$327 ,Ventura County
"Thornyhead, longspine ",113,$287 ,Ventura County
"Sole, petrale ",317,$274 ,Ventura County
"Crab, box ",193,$268 ,Ventura County
"Sole, unspecified ",444,$260 ,Ventura County
"Rockfish, starry ",120,$253 ,Ventura County
"Ray, bat ",405,$247 ,Ventura County
"Rockfish, yellowtail ",100,$245 ,Ventura County
"Rockfish, chilipepper ",229,$229 ,Ventura County
"Croaker, yellowfin ",227,$227 ,Ventura County
"Rockfish, canary ",78,$200 ,Ventura County
"Whitefish, ocean ",91,$196 ,Ventura County
"Turbot, hornyhead ",194,$162 ,Ventura County
"Octopus, unspecified ",103,$144 ,Ventura County
"Skate, California ",237,$135 ,Ventura County
"Shark, shortfin mako ",34,$134 ,Ventura County
"Rockfish, speckled ",76,$133 ,Ventura County
"Crab, armed box ",129,$129 ,Ventura County
"Rockfish, greenstriped ",131,$125 ,Ventura County
Stingray ,209,$114 ,Ventura County
"Rockfish, brown ",83,$101 ,Ventura County
"Rockfish, flag ",64,$85 ,Ventura County
"Sanddab, Pacific ",72,$72 ,Ventura County
"Skate, thornback ",117,$70 ,Ventura County
"Mackerel, unspecified ",76,$66 ,Ventura County
"Crab, shore ",62,$62 ,Ventura County
"Shark, brown smoothhound ",87,$59 ,Ventura County
"Croaker, unspecifed ",64,$58 ,Ventura County
"Barracuda, California ",51,$51 ,Ventura County
"Rockfish, greenblotched ",48,$48 ,Ventura County
"Rockfish, rosy ",15,$42 ,Ventura County
"Guitarfish, shovelnose ",47,$42 ,Ventura County
"Shark, leopard ",102,$41 ,Ventura County
"Crab, spider/sheep claws ",43,$28 ,Ventura County
"Bonito, Pacific ",36,$27 ,Ventura County
"Limpet, keyhole ",23,$23 ,Ventura County
"Rockfish, widow ",17,$17 ,Ventura County
"Rockfish, olive ",11,$17 ,Ventura County
Grenadier ,14,$14 ,Ventura County
"Midshipman, plainfin ",21,$10 ,Ventura County
"Rockfish, group canary/vermili ",9,$9 ,Ventura County
"Rockfish, bank ",3,$8 ,Ventura County
"Rockfish, squarespot ",4,$4 ,Ventura County
"Sole, rex ",4,$2 ,Ventura County
"Crab, claws ",2,$2 ,Ventura County
"Shark, sevengill ",33,$0 ,Ventura County
"Mackerel, jack ",155,$0 ,Ventura County
"Shark, unspecified ",31,$0 ,Ventura County
"Mullet, striped ",1,$0 ,Ventura County
"Lobster, California spiny ","77,879","$1,086,038 ",Solano County
"Sea urchin, red ","483,562","$772,170 ",Solano County
"Thornyhead, shortspine ","39,048","$296,975 ",Solano County
"Halibut, California ","52,626","$247,335 ",Solano County
"Seabass, white ","38,095","$176,001 ",Solano County
"Crab, yellow rock ","84,116","$109,270 ",Solano County
Sablefish ,"30,289","$99,080 ",Solano County
"Prawn, spot ","6,518","$98,933 ",Solano County
"Sea cucumber, warty ","22,995","$90,053 ",Solano County
"Rockfish, vermilion ","19,321","$59,354 ",Solano County
"Sheephead, California ","10,738","$55,556 ",Solano County
"Prawn, ridgeback ","15,835","$39,588 ",Solano County
"Shark, Pacific angel ","10,237","$14,354 ",Solano County
"Thornyhead, longspine ","6,018","$12,940 ",Solano County
"Shark, thresher ","9,608","$12,619 ",Solano County
Swordfish ,"2,381","$12,506 ",Solano County
"Rockfish, copper ","2,019","$11,637 ",Solano County
Lingcod ,"2,524","$8,592 ",Solano County
"Crab, spider ","4,045","$8,397 ",Solano County
"Whitefish, ocean ","1,761","$4,730 ",Solano County
"Tuna, bluefin ","1,782","$4,179 ",Solano County
Yellowtail ,"1,179","$3,806 ",Solano County
"Shark, soupfin ","1,788","$2,980 ",Solano County
"Crab, rock unspecified ","1,811","$2,895 ",Solano County
"Rockfish, blackgill ","1,637","$2,855 ",Solano County
"Rockfish, canary ",886,"$2,782 ",Solano County
Sanddab ,904,"$2,613 ",Solano County
"Rockfish, bocaccio ","1,646","$2,443 ",Solano County
"Crab, brown rock ","1,597","$2,307 ",Solano County
"Croaker, white ","2,759","$2,178 ",Solano County
"Rockfish, gopher ",316,"$1,878 ",Solano County
"Shark, shortfin mako ","1,211","$1,737 ",Solano County
"Shark, leopard ","1,140","$1,688 ",Solano County
"Bass, giant sea ",689,"$1,377 ",Solano County
Cabezon ,220,"$1,328 ",Solano County
"Rockfish, kelp ",187,"$1,123 ",Solano County
"Skate, longnose ","2,182","$1,069 ",Solano County
"Rockfish, bank ",402,"$1,068 ",Solano County
"Crab, red rock ",929,$947 ,Solano County
"Lizardfish, California ","1,237",$928 ,Solano County
"Rockfish, greenspotted ",375,$862 ,Solano County
"Rockfish, brown ",143,$828 ,Solano County
"Rockfish, grass ",107,$770 ,Solano County
"Skate, big ",826,$701 ,Solano County
"Shrimp, mantis ",85,$680 ,Solano County
"Shark, unspecified ","2,671",$668 ,Solano County
"Whelk, Kellet's ",942,$668 ,Solano County
"Rockfish, speckled ",158,$459 ,Solano County
"Rockfish, treefish ",70,$409 ,Solano County
"Ray, bat ",533,$400 ,Solano County
"Rockfish, blue ",155,$362 ,Solano County
"Whiting, Pacific ",172,$328 ,Solano County
"Rockfish, olive ",109,$323 ,Solano County
"Sole, Dover ",79,$283 ,Solano County
"Rockfish, yellowtail ",117,$257 ,Solano County
"Smelt, whitebait ",35,$228 ,Solano County
"Bonito, Pacific ",293,$216 ,Solano County
"Rockfish, aurora ",86,$209 ,Solano County
"Barracuda, California ",357,$201 ,Solano County
"Rockfish, black-and-yellow ",32,$191 ,Solano County
Butterfish (Pacific pompano) ,126,$189 ,Solano County
"Crab, claws ",124,$174 ,Solano County
"Sole, fantail ",149,$161 ,Solano County
"Sea urchin, purple ",139,$139 ,Solano County
"Sole, English ",180,$135 ,Solano County
"Rockfish, starry ",44,$129 ,Solano County
Opah ,162,$122 ,Solano County
"Crab, tanner ",75,$108 ,Solano County
"Rockfish, shortbelly ",60,$105 ,Solano County
"Guitarfish, shovelnose ",59,$84 ,Solano County
"Sole, rex ",110,$83 ,Solano County
"Crab, box ",21,$74 ,Solano County
"Sculpin, yellowchin ",16,$71 ,Solano County
"Rockfish, chilipepper ",24,$50 ,Solano County
"Hagfish, unspecified ",25,$50 ,Solano County
"Rockfish, widow ",20,$39 ,Solano County
"Shark, white ",50,$38 ,Solano County
"Crab, spider/sheep claws ",75,$37 ,Solano County
"Fish, unspecified ",36,$36 ,Solano County
"Tomcod, Pacific ",14,$35 ,Solano County
"Sole, petrale ",6,$28 ,Solano County
"Rockfish, unspecified ",14,$27 ,Solano County
"Rockfish, flag ",9,$20 ,Solano County
"Mackerel, Pacific ",67,$19 ,Solano County
"Scorpionfish, California ",2,$12 ,Solano County
"Sculpin, staghorn ",8,$8 ,Solano County
"Shark, pelagic thresher ",70,$1 ,Solano County
"Anchovy, northern ","72,925",$0 ,Solano County
"Hagfish, Pacific ",7,$0 ,Solano County
"Octopus, unspecified ",1,$0 ,Solano County
"Sardine, Pacific ","91,050",$0 ,Solano County
"Crab, armed box ",15,$0 ,Solano County
"Shark, blue ",40,$0 ,Solano County
Mussel ,462,$0 ,Solano County
"Squid, market ","3,214,710","$1,589,431 ",Ventura County
"Prawn, spot ","61,287","$918,671 ",Ventura County
"Seabass, white ","1,086","$4,344 ",Ventura County
"Lobster, California spiny ",83,$959 ,Ventura County
"Sardine, Pacific ","14,457",$949 ,Ventura County
"Mackerel, jack ",780,$78 ,Ventura County
"Shark, shortfin mako ",56,$56 ,Ventura County
"Bass, giant sea ",8,$24 ,Ventura County
"Fish, unspecified ","1,807",$0 ,Ventura County
"Mackerel, Pacific ",0,$0 ,Ventura County
"Rockfish, vermilion ","3,448","$10,343 ",Santa Barbara County
"Halibut, California ","2,000","$8,031 ",Santa Barbara County
"Whitefish, ocean ","1,427","$4,167 ",Santa Barbara County
"Crab, Dungeness ",457,"$2,347 ",Santa Barbara County
"Hagfish, Pacific ","2,093","$2,302 ",Santa Barbara County
Lingcod ,629,"$1,907 ",Santa Barbara County
"Mackerel, Pacific ",591,"$1,234 ",Santa Barbara County
"Shark, soupfin ",590,"$1,220 ",Santa Barbara County
"Rockfish, bocaccio ",381,"$1,142 ",Santa Barbara County
"Seabass, white ",243,$970 ,Santa Barbara County
"Shark, thresher ",196,$588 ,Santa Barbara County
"Rockfish, widow ",159,$478 ,Santa Barbara County
"Rockfish, starry ",56,$167 ,Santa Barbara County
"Mackerel, unspecified ",67,$133 ,Santa Barbara County
"Bonito, Pacific ",26,$51 ,Santa Barbara County
"Shark, shortfin mako ",10,$20 ,Santa Barbara County
